email,frequency
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\202,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1547,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\887,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1002,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1220,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\3959,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\383,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1088,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\770,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2094,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\199,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4698,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1706,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1285,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1500,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\963,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4097,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1954,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\283,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4345,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\750,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\553,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4586,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1693,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\3952,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\230,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1066,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2033,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2059,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4477,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1707,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\84,1
